Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,ScreenType,PPI,SSD_GB,Cpu_Brand,Cpu_Family,Cpu_Clockspeed,target
Dell,Workstation,15.6,8,Nvidia Quadro M620,Windows,2.06,Standard,141.21,256,Intel,Core i7,2.8,1763.0
Asus,Ultrabook,13.3,8,Intel HD Graphics 515,Windows,1.2,IPS Panel,165.63,512,Intel,Core M,0.9,729.0
Acer,Notebook,15.6,4,AMD Radeon R5,Windows,2.4,Standard,100.45,0,AMD,A8-Series,2.2,387.0
HP,Notebook,15.6,6,AMD Radeon 530,Windows,1.95,IPS Panel,141.21,256,AMD,A9-Series,3.0,649.0
Dell,Notebook,15.6,4,Intel HD Graphics 620,Linux,1.93,Standard,100.45,0,Intel,Core i5,2.6,869.0
Dell,Notebook,17.3,16,AMD Radeon 530,Windows,2.8,Standard,127.34,256,Intel,Core i7,1.8,1299.0
Lenovo,Workstation,15.6,16,Nvidia GeForce GTX 940MX,Windows,2.3,IPS Panel,282.42,512,Intel,Core i7,2.8,2445.0
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows,2.9,Standard,127.34,512,Intel,Core i7,2.8,2415.0
HP,Notebook,13.3,16,Intel UHD Graphics 620,Windows,1.49,Standard,165.63,512,Intel,Core i7,1.8,1197.0
Dell,Ultrabook,14.0,8,Intel HD Graphics 520,Windows,1.5,Standard,209.8,256,Intel,Core i7,2.6,1962.98
Lenovo,Notebook,15.6,8,AMD Radeon R5 M330,Windows,2.5,Standard,141.21,0,Intel,Core i5,2.3,788.49
HP,Notebook,15.6,8,Intel HD Graphics 620,Windows,1.84,Standard,141.21,256,Intel,Core i7,2.7,1304.0
Dell,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,1.62,IPS Panel,165.63,0,Intel,Core i7,1.8,839.0
Lenovo,Notebook,17.3,6,Nvidia GeForce GTX 940MX,Windows,2.8,Standard,106.11,128,Intel,Core i7,2.7,859.0
MSI,Gaming,17.3,8,Nvidia GeForce GTX 965M,Windows,2.6,Standard,127.34,256,Intel,Core i7,2.6,1599.0
Acer,Netbook,11.6,4,Intel HD Graphics 400,Chrome OS,1.25,IPS Panel,135.09,0,Intel,Celeron Dual Core,1.6,297.0
Dell,Notebook,14.0,8,Intel HD Graphics 620,Windows,1.36,Standard,157.35,256,Intel,Core i5,2.6,1427.0
Dell,Notebook,15.6,8,Intel HD Graphics 620,Windows,2.3,Standard,100.45,0,Intel,Core i3,2.4,469.01
Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,3.0,Standard,127.34,128,Intel,Core i7,2.8,1168.0
Asus,Notebook,17.3,4,Nvidia GeForce 920MX,Windows,2.8,Standard,106.11,0,Intel,Pentium Quad Core,1.6,530.0
Lenovo,Notebook,15.6,12,AMD Radeon 530,Windows,2.2,Standard,141.21,512,AMD,A12-Series,3.6,949.0
Other,Ultrabook,13.5,8,Intel Iris Plus Graphics 640,Windows,1.25,Standard,200.84,256,Intel,Core i7,2.5,1799.0
HP,Notebook,15.6,6,AMD Radeon 530,Windows,1.91,IPS Panel,141.21,128,AMD,A10-Series,2.5,568.9
Lenovo,2 in 1 Convertible,13.9,16,Intel UHD Graphics 620,Windows,1.4,IPS Panel,316.97,512,Intel,Core i7,1.8,1849.0
Asus,Ultrabook,15.6,16,Nvidia GeForce MX150,Windows,1.5,Standard,141.21,256,Intel,Core i7,1.8,1262.0
Acer,Notebook,15.6,6,AMD Radeon R5,Windows,2.1,Standard,100.45,0,AMD,A9-Series,3.0,409.0
HP,Notebook,15.6,16,Intel UHD Graphics 620,Windows,2.1,Standard,141.21,512,Intel,Core i7,1.8,1159.0
Dell,Workstation,15.6,16,Nvidia Quadro M1200,Windows,2.8,Standard,282.42,256,Intel,Xeon,3.0,3055.0
Lenovo,Notebook,14.0,8,Intel HD Graphics 630,Windows,1.7,IPS Panel,157.35,256,Intel,Core i5,2.5,1474.0
HP,Ultrabook,12.5,8,Intel HD Graphics 515,Windows,1.09,Standard,352.47,240,Intel,Core M,1.2,3100.0
